date_string,sp500,dividend,dividend,earnings,earnings,cpi,cape,real_price,long_interest_rate
1871-01-01,4.44,0.26,6.788211234996863,0.4,10.443401899995175,12.46406116,,115.92176108994644,5.32
1871-02-01,4.5,0.26,6.587080004192756,0.4,10.133969237219624,12.84464132,,114.00715391872076,5.323333333333333
1871-03-01,4.61,0.26,6.490898534273022,0.4,9.98599774503542,13.0349719,,115.0886240115332,5.326666666666667
1871-04-01,4.74,0.26,6.7367747796282496,0.4,10.364268891735769,12.55922645,,122.81658636706885,5.33
1871-05-01,4.86,0.26,6.893431556893296,0.4,10.605279318297377,12.27381157,,128.85414371731315,5.333333333333334
1871-06-01,4.82,0.26,7.002012091550453,0.4,10.772326294693006,12.08348099,,129.8065318510507,5.336666666666667
1871-07-01,4.73,0.26,7.002012091550453,0.4,10.772326294693006,12.08348099,,127.38275843474477,5.34
1871-08-01,4.79,0.26,7.114019491792621,0.4,10.944645371988647,11.8932314,,131.06212832956405,5.343333333333334
1871-09-01,4.84,0.26,6.947297594063963,0.4,10.68815014471379,12.17864628,,129.32661675103682,5.346666666666668
1871-10-01,4.59,0.26,6.840439186266675,0.4,10.523752594256424,12.36889587,,120.76006101909246,5.3500000000000005
1871-11-01,4.64,0.26,6.840439186266675,0.4,10.523752594256424,12.36889587,,122.0755300933745,5.3533333333333335
1871-12-01,4.74,0.26,6.686111963213179,0.4,10.286326097251045,12.65439174,,121.89296425242487,5.3566666666666665
1872-01-01,4.86,0.2633,6.7709741535155,0.4025,10.350615635358865,12.65439174,,124.97886208160021,5.36
1872-02-01,4.88,0.2667,6.858407925342134,0.405,10.414905173466682,12.65439174,,125.49317838646274,5.378333333333333
1872-03-01,5.04,0.27,6.8404292351232465,0.4075,10.32398116041749,12.84464132,,127.68801238896727,5.3966666666666665
1872-04-01,5.18,0.2733,6.773481351568424,0.41,10.161461229941652,13.13013719,,128.38138822218968,5.415000000000001
1872-05-01,5.18,0.2767,6.857747127621599,0.4125,10.223421359392518,13.13013719,,128.38138822218968,5.433333333333334
